Strongly Outperforming Benchmark Index,
Date: 26-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Sundaram-Clayton Ltd.,SUNCLAYLTD,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.14,4591.90,-1.20,"SUNCLAYLTD,"
The Ramco Cements Ltd.,RAMCOCEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.14,746.40,-1.90,"RAMCOCEM,"
Carborundum Universal Ltd.,CARBORUNIV,NSE,Abrasives,Abrasives,NIFTY 50,0.13,812.15,-0.70,"CARBORUNIV,"
Cera Sanitaryware Ltd.,CERA,NSE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,NIFTY 50,0.13,4892.90,-0.60,"CERA,"
Fortis Healthcare Ltd.,FORTIS,NSE,Healthcare,Hospital & Healthcare Services,NIFTY 50,0.13,291.20,-0.50,"FORTIS,"
Vardhman Textiles Ltd.,VTL,NSE,Textile,Textile,NIFTY 50,0.13,335.15,-0.10,"VTL,"
Dalmia Bharat Ltd.,DALBHARAT,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.12,1531.55,-0.40,"DALBHARAT,"
Godrej Consumer Products Ltd.,GODREJCP,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.12,897.80,-1.10,"GODREJCP,"
Info Edge (India) Ltd.,NAUKRI,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.12,4436.45,-1.50,"NAUKRI,"
Larsen & Toubro Ltd.,LT,NSE,Infrastructure,Engineering - Construction,NIFTY 50,0.12,1905.40,1.50,"LT,"
MRF Ltd.,MRF,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.12,85272.25,-0.20,"MRF,"
Page Industries Ltd.,PAGEIND,NSE,Textile,Textile,NIFTY 50,0.12,49937.60,0.50,"PAGEIND,"
PCBL Ltd.,PCBL,NSE,Chemicals,Carbon Black,NIFTY 50,0.12,126.00,1.30,"PCBL,"
Timken India Ltd.,TIMKEN,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.12,2958.35,0.50,"TIMKEN,"
Aditya Birla Fashion and Retail Ltd.,ABFRL,NSE,Retailing,Retailing,NIFTY 50,0.11,305.20,2.20,"ABFRL,"
Anupam Rasayan India Ltd.,ANURAS,NSE,Chemicals,Chemicals,NIFTY 50,0.11,764.85,0.30,"ANURAS,"
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,NSE,Finance,Finance - NBFC,NIFTY 50,0.11,796.20,1.30,"CHOLAFIN,"
Cummins India Ltd.,CUMMINSIND,NSE,Automobile & Ancillaries,Diesel Engines,NIFTY 50,0.11,1206.50,0.70,"CUMMINSIND,"
EIH Ltd.,EIHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.11,161.00,0.60,"EIHOTEL,"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,NSE,Chemicals,Fertilizers,NIFTY 50,0.11,746.40,3.10,"GNFC,"
Havells India Ltd.,HAVELLS,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.11,1323.65,1.00,"HAVELLS,"
ICICI Bank Ltd.,ICICIBANK,NSE,Banking,Bank - Private,NIFTY 50,0.11,870.85,-0.20,"ICICIBANK,"
Indian Bank,INDIANB,NSE,Banking,Bank - Public,NIFTY 50,0.11,193.35,2.20,"INDIANB,"
Indraprastha Gas Ltd.,IGL,NSE,Industrials Gases & Fuels,Industrial  Gases & Fuels,NIFTY 50,0.11,418.50,0.40,"IGL,"
Solar Industries India Ltd.,SOLARINDS,NSE,Chemicals,Chemicals,NIFTY 50,0.11,3345.95,-2.50,"SOLARINDS,"
Titan Company Ltd.,TITAN,NSE,Diamond & Jewellery,Diamond  &  Jewellery,NIFTY 50,0.11,2532.90,2.70,"TITAN,"
