Strongly Outperforming Benchmark Index,
Date: 25-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Eicher Motors Ltd.,EICHERMOT,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,NIFTY 50,0.23,3481.45,0.90,"EICHERMOT,"
La Opala RG Ltd.,LAOPALA,NSE,Construction Materials,Glass,NIFTY 50,0.23,343.20,0.60,"LAOPALA,"
PI Industries Ltd.,PIIND,NSE,Chemicals,Pesticides & Agrochemicals,NIFTY 50,0.23,3399.10,0.40,"PIIND,"
Bajaj Electricals Ltd.,BAJAJELEC,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,NIFTY 50,0.22,1246.45,1.30,"BAJAJELEC,"
CCL Products (India) Ltd.,CCL,NSE,Agriculture,Tea/Coffee,NIFTY 50,0.22,474.00,2.40,"CCL,"
Grindwell Norton Ltd.,GRINDWELL,NSE,Abrasives,Abrasives,NIFTY 50,0.22,2230.50,2.10,"GRINDWELL,"
Restaurant Brands Asia Ltd.,RBA,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.22,131.30,-1.40,"RBA,"
UNO Minda Ltd.,UNOMINDA,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.22,564.70,2.40,"UNOMINDA,"
Adani Green Energy Ltd.,ADANIGREEN,NSE,Power,Power Generation/Distribution,NIFTY 50,0.21,2368.30,0.40,"ADANIGREEN,"
TVS Motor Company Ltd.,TVSMOTOR,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,NIFTY 50,0.20,949.10,-1.10,"TVSMOTOR,"
JSW Energy Ltd.,JSWENERGY,NSE,Power,Power Generation/Distribution,NIFTY 50,0.19,321.60,-1.10,"JSWENERGY,"
Lakshmi Machine Works Ltd.,LAXMIMACH,NSE,Textile,Textile - Machinery,NIFTY 50,0.19,11739.45,-1.10,"LAXMIMACH,"
Oberoi Realty Ltd.,OBEROIRLTY,NSE,Realty,Construction - Real Estate,NIFTY 50,0.19,972.85,0.80,"OBEROIRLTY,"
Sapphire Foods India Ltd.,SAPPHIRE,NSE,Fast Moving Consumer Goods,Consumer Food,NIFTY 50,0.19,1220.55,0.40,"SAPPHIRE,"
The India Cements Ltd.,INDIACEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.19,208.90,0.60,"INDIACEM,"
The Phoenix Mills Ltd.,PHOENIXLTD,NSE,Realty,Construction - Real Estate,NIFTY 50,0.19,1422.55,3.90,"PHOENIXLTD,"
Astral Ltd.,ASTRAL,NSE,Plastic Products,Plastic Products,NIFTY 50,0.18,2095.65,-0.50,"ASTRAL,"
BASF India Ltd.,BASF,NSE,Chemicals,Pesticides & Agrochemicals,NIFTY 50,0.18,3365.15,0.80,"BASF,"
CG Power and Industrial Solutions Ltd.,CGPOWER,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.18,227.75,-0.80,"CGPOWER,"
JK Cement Ltd.,JKCEMENT,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.18,2626.75,-1.30,"JKCEMENT,"
JK Paper Ltd.,JKPAPER,NSE,Paper,Paper & Paper Products,NIFTY 50,0.18,417.30,-2.80,"JKPAPER,"
Jyothy Labs Ltd.,JYOTHYLAB,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.18,192.00,0.80,"JYOTHYLAB,"
Uflex Ltd.,UFLEX,NSE,Fast Moving Consumer Goods,Packaging,NIFTY 50,0.18,773.95,5.00,"UFLEX,"
Yes Bank Ltd.,YESBANK,NSE,Banking,Bank - Private,NIFTY 50,0.18,16.50,-0.60,"YESBANK,"
Home First Finance Company India Ltd.,HOMEFIRST,NSE,Finance,Finance - Housing,NIFTY 50,0.17,950.05,0.80,"HOMEFIRST,"
ITI Ltd.,ITI,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.17,115.40,0.80,"ITI,"
One97 Communications Ltd.,PAYTM,NSE,Information Technology,e-Commerce,NIFTY 50,0.17,768.70,0.10,"PAYTM,"
Pidilite Industries Ltd.,PIDILITIND,NSE,Chemicals,Chemicals,NIFTY 50,0.17,2663.25,-0.30,"PIDILITIND,"
The Federal Bank Ltd.,FEDERALBNK,NSE,Banking,Bank - Private,NIFTY 50,0.17,113.90,-0.10,"FEDERALBNK,"
The Ramco Cements Ltd.,RAMCOCEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.17,761.05,1.50,"RAMCOCEM,"
Torrent Power Ltd.,TORNTPOWER,NSE,Power,Power Generation/Distribution,NIFTY 50,0.17,571.95,-1.50,"TORNTPOWER,"
Trent Ltd.,TRENT,NSE,Retailing,Retailing,NIFTY 50,0.17,1359.40,1.10,"TRENT,"
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.17,9789.00,1.40,"ZFCVINDIA,"
Bank Of Baroda,BANKBARODA,NSE,Banking,Bank - Public,NIFTY 50,0.16,125.90,1.90,"BANKBARODA,"
Dalmia Bharat Ltd.,DALBHARAT,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.16,1537.05,-1.00,"DALBHARAT,"
Info Edge (India) Ltd.,NAUKRI,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.16,4503.05,1.90,"NAUKRI,"
REC Ltd.,RECLTD,NSE,Finance,Finance Term Lending,NIFTY 50,0.16,107.80,2.10,"RECLTD,"
Solar Industries India Ltd.,SOLARINDS,NSE,Chemicals,Chemicals,NIFTY 50,0.16,3430.70,-0.30,"SOLARINDS,"
Tata Communications Ltd.,TATACOMM,NSE,Telecom,Telecommunication - Service  Provider,NIFTY 50,0.16,1157.35,-1.00,"TATACOMM,"
Aptus Value Housing Finance India Ltd.,APTUS,NSE,Finance,Finance - Housing,NIFTY 50,0.15,332.20,-1.50,"APTUS,"
Asian Paints Ltd.,ASIANPAINT,NSE,Chemicals,Paints,NIFTY 50,0.15,3362.50,-0.50,"ASIANPAINT,"
Elgi Equipments Ltd.,ELGIEQUIP,NSE,Capital Goods,Compressors / Pumps,NIFTY 50,0.15,468.25,-1.10,"ELGIEQUIP,"
Fine Organic Industries Ltd.,FINEORG,NSE,Chemicals,Chemicals,NIFTY 50,0.15,6185.85,-0.60,"FINEORG,"
Grasim Industries Ltd.,GRASIM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.15,1624.85,0.80,"GRASIM,"
IFB Industries Ltd.,IFBIND,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,NIFTY 50,0.15,1045.35,-0.40,"IFBIND,"
Siemens Ltd.,SIEMENS,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.15,2883.45,-0.30,"SIEMENS,"
Thermax Ltd.,THERMAX,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.15,2451.10,4.90,"THERMAX,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.15,202.60,1.40,"TRITURBINE,"
UTI Asset Management Company Ltd.,UTIAMC,NSE,Finance,Finance - Asset Management,NIFTY 50,0.15,805.80,-0.20,"UTIAMC,"
Bosch Ltd.,BOSCHLTD,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.14,17206.20,-0.30,"BOSCHLTD,"
Dr. Lal Pathlabs Ltd.,LALPATHLAB,NSE,Healthcare,Hospital & Healthcare Services,NIFTY 50,0.14,2585.25,4.10,"LALPATHLAB,"
Fortis Healthcare Ltd.,FORTIS,NSE,Healthcare,Hospital & Healthcare Services,NIFTY 50,0.14,292.65,0.30,"FORTIS,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,NSE,Chemicals,Chemicals,NIFTY 50,0.14,3361.20,-1.50,"FLUOROCHEM,"
Mahindra Lifespace Developers Ltd.,MAHLIFE,NSE,Realty,Construction - Real Estate,NIFTY 50,0.14,508.05,4.60,"MAHLIFE,"
Timken India Ltd.,TIMKEN,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.14,2942.75,-1.10,"TIMKEN,"
AIA Engineering Ltd.,AIAENG,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.13,2593.35,1.20,"AIAENG,"
Bharat Electronics Ltd.,BEL,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.13,296.70,0.90,"BEL,"
Cera Sanitaryware Ltd.,CERA,NSE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,NIFTY 50,0.13,4924.70,-0.30,"CERA,"
Godrej Consumer Products Ltd.,GODREJCP,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.13,907.40,0.50,"GODREJCP,"
Mahindra & Mahindra Ltd.,M&M,NSE,Automobile & Ancillaries,Automobiles - Passenger Cars,NIFTY 50,0.13,1259.65,-0.70,"M&M,"
Prism Johnson Ltd.,PRSMJOHNSN,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.13,130.05,3.40,"PRSMJOHNSN,"
Privi Speciality Chemicals Ltd.,PRIVISCL,NSE,Chemicals,Chemicals,NIFTY 50,0.13,1403.75,1.40,"PRIVISCL,"
Sun TV Network Ltd.,SUNTV,NSE,Media & Entertainment,TV Broadcasting & Software Production,NIFTY 50,0.13,509.25,-0.40,"SUNTV,"
Sundaram-Clayton Ltd.,SUNCLAYLTD,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.13,4645.60,0.50,"SUNCLAYLTD,"
Bajaj Finance Ltd.,BAJFINANCE,NSE,Finance,Finance - NBFC,NIFTY 50,0.12,7047.15,-1.80,"BAJFINANCE,"
Carborundum Universal Ltd.,CARBORUNIV,NSE,Abrasives,Abrasives,NIFTY 50,0.12,818.00,-1.00,"CARBORUNIV,"
Century Plyboards (India) Ltd.,CENTURYPLY,NSE,Construction Materials,Wood & Wood Products,NIFTY 50,0.12,666.40,-0.10,"CENTURYPLY,"
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,NSE,Finance,Finance - NBFC,NIFTY 50,0.12,785.85,-1.60,"CHOLAFIN,"
EIH Ltd.,EIHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.12,160.00,0.20,"EIHOTEL,"
Indiabulls Real Estate Ltd.,IBREALEST,NSE,Realty,Construction - Real Estate,NIFTY 50,0.12,85.65,3.30,"IBREALEST,"
Kansai Nerolac Paints Ltd.,KANSAINER,NSE,Chemicals,Paints,NIFTY 50,0.12,486.90,-1.60,"KANSAINER,"
Mahindra Holidays & Resorts India Ltd.,MHRIL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.12,261.40,-2.50,"MHRIL,"
MRF Ltd.,MRF,NSE,Automobile & Ancillaries,Tyres & Allied,NIFTY 50,0.12,85445.00,0.20,"MRF,"
Page Industries Ltd.,PAGEIND,NSE,Textile,Textile,NIFTY 50,0.12,49678.10,-0.20,"PAGEIND,"
SBI Cards And Payment Services Ltd.,SBICARD,NSE,Finance,Finance - NBFC,NIFTY 50,0.12,917.20,-0.60,"SBICARD,"
Anupam Rasayan India Ltd.,ANURAS,NSE,Chemicals,Chemicals,NIFTY 50,0.11,762.90,1.70,"ANURAS,"
Cummins India Ltd.,CUMMINSIND,NSE,Automobile & Ancillaries,Diesel Engines,NIFTY 50,0.11,1198.45,-0.10,"CUMMINSIND,"
DLF Ltd.,DLF,NSE,Realty,Construction - Real Estate,NIFTY 50,0.11,376.70,1.20,"DLF,"
ICICI Bank Ltd.,ICICIBANK,NSE,Banking,Bank - Private,NIFTY 50,0.11,872.35,-0.10,"ICICIBANK,"
Indraprastha Gas Ltd.,IGL,NSE,Industrials Gases & Fuels,Industrial  Gases & Fuels,NIFTY 50,0.11,416.70,-1.90,"IGL,"
IndusInd Bank Ltd.,INDUSINDBK,NSE,Banking,Bank - Private,NIFTY 50,0.11,1089.95,-1.10,"INDUSINDBK,"
Kajaria Ceramics Ltd.,KAJARIACER,NSE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,NIFTY 50,0.11,1174.35,0.20,"KAJARIACER,"
Larsen & Toubro Ltd.,LT,NSE,Infrastructure,Engineering - Construction,NIFTY 50,0.11,1877.90,-0.80,"LT,"
Nuvoco Vistas Corporation Ltd.,NUVOCO,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.11,351.35,2.30,"NUVOCO,"
The Indian Hotels Company Ltd.,INDHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.11,273.40,-0.50,"INDHOTEL,"
Vardhman Textiles Ltd.,VTL,NSE,Textile,Textile,NIFTY 50,0.11,335.35,0.20,"VTL,"
