Strongly Outperforming Benchmark Index,
Date: 24-Aug-2022,
Major Stocks,
Generated by and for: sr.chman6@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Index,RS,Close,Chg %,Symbol with Comma for External Upload
Astral Ltd.,ASTRAL,NSE,Plastic Products,Plastic Products,NIFTY 50,0.16,2106.35,2.10,"ASTRAL,"
BASF India Ltd.,BASF,NSE,Chemicals,Pesticides & Agrochemicals,NIFTY 50,0.16,3337.85,3.70,"BASF,"
ITI Ltd.,ITI,NSE,Telecom,Telecommunication - Equipment,NIFTY 50,0.16,114.50,0.30,"ITI,"
Jyothy Labs Ltd.,JYOTHYLAB,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.16,190.50,5.60,"JYOTHYLAB,"
Mahindra Holidays & Resorts India Ltd.,MHRIL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.16,268.10,4.80,"MHRIL,"
Pidilite Industries Ltd.,PIDILITIND,NSE,Chemicals,Chemicals,NIFTY 50,0.16,2670.75,-0.30,"PIDILITIND,"
Solar Industries India Ltd.,SOLARINDS,NSE,Chemicals,Chemicals,NIFTY 50,0.16,3439.80,0.90,"SOLARINDS,"
The Phoenix Mills Ltd.,PHOENIXLTD,NSE,Realty,Construction - Real Estate,NIFTY 50,0.16,1369.65,3.30,"PHOENIXLTD,"
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.16,9651.95,1.30,"ZFCVINDIA,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,NSE,Chemicals,Chemicals,NIFTY 50,0.15,3413.60,-0.80,"FLUOROCHEM,"
Mahindra & Mahindra Ltd.,M&M,NSE,Automobile & Ancillaries,Automobiles - Passenger Cars,NIFTY 50,0.15,1268.30,-0.40,"M&M,"
REC Ltd.,RECLTD,NSE,Finance,Finance Term Lending,NIFTY 50,0.15,105.60,0.20,"RECLTD,"
Siemens Ltd.,SIEMENS,NSE,Capital Goods,Electric Equipment,NIFTY 50,0.15,2890.80,0.40,"SIEMENS,"
Trent Ltd.,TRENT,NSE,Retailing,Retailing,NIFTY 50,0.15,1344.90,-0.10,"TRENT,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.15,199.75,-0.60,"TRITURBINE,"
UTI Asset Management Company Ltd.,UTIAMC,NSE,Finance,Finance - Asset Management,NIFTY 50,0.15,807.05,0.60,"UTIAMC,"
Aptus Value Housing Finance India Ltd.,APTUS,NSE,Finance,Finance - Housing,NIFTY 50,0.14,337.25,-3.40,"APTUS,"
Bank Of Baroda,BANKBARODA,NSE,Banking,Bank - Public,NIFTY 50,0.14,123.55,0.10,"BANKBARODA,"
Bharat Electronics Ltd.,BEL,NSE,Capital Goods,Engineering - Industrial Equipments,NIFTY 50,0.14,294.05,-1.50,"BEL,"
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,NSE,Finance,Finance - NBFC,NIFTY 50,0.14,798.85,1.50,"CHOLAFIN,"
Dalmia Bharat Ltd.,DALBHARAT,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.14,1552.40,-0.60,"DALBHARAT,"
Grasim Industries Ltd.,GRASIM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.14,1612.25,1.10,"GRASIM,"
IFB Industries Ltd.,IFBIND,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,NIFTY 50,0.14,1049.30,0.20,"IFBIND,"
Sun TV Network Ltd.,SUNTV,NSE,Media & Entertainment,TV Broadcasting & Software Production,NIFTY 50,0.14,511.45,5.30,"SUNTV,"
Sundaram-Clayton Ltd.,SUNCLAYLTD,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.14,4623.75,-0.90,"SUNCLAYLTD,"
Timken India Ltd.,TIMKEN,NSE,Automobile & Ancillaries,Bearings,NIFTY 50,0.14,2976.20,-1.30,"TIMKEN,"
Asian Paints Ltd.,ASIANPAINT,NSE,Chemicals,Paints,NIFTY 50,0.13,3378.85,0.70,"ASIANPAINT,"
Bosch Ltd.,BOSCHLTD,NSE,Automobile & Ancillaries,Auto Ancillary,NIFTY 50,0.13,17260.95,-0.20,"BOSCHLTD,"
Fine Organic Industries Ltd.,FINEORG,NSE,Chemicals,Chemicals,NIFTY 50,0.13,6220.75,-0.10,"FINEORG,"
Fortis Healthcare Ltd.,FORTIS,NSE,Healthcare,Hospital & Healthcare Services,NIFTY 50,0.13,291.75,-1.40,"FORTIS,"
Kansai Nerolac Paints Ltd.,KANSAINER,NSE,Chemicals,Paints,NIFTY 50,0.13,494.75,-0.80,"KANSAINER,"
The Indian Hotels Company Ltd.,INDHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.13,274.90,0.60,"INDHOTEL,"
Uflex Ltd.,UFLEX,NSE,Fast Moving Consumer Goods,Packaging,NIFTY 50,0.13,737.25,5.30,"UFLEX,"
Bajaj Finance Ltd.,BAJFINANCE,NSE,Finance,Finance - NBFC,NIFTY 50,0.12,7176.90,-0.40,"BAJFINANCE,"
Carborundum Universal Ltd.,CARBORUNIV,NSE,Abrasives,Abrasives,NIFTY 50,0.12,826.25,0.90,"CARBORUNIV,"
Cummins India Ltd.,CUMMINSIND,NSE,Automobile & Ancillaries,Diesel Engines,NIFTY 50,0.12,1199.25,-0.10,"CUMMINSIND,"
Emami Ltd.,EMAMILTD,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.12,502.15,3.80,"EMAMILTD,"
Godrej Consumer Products Ltd.,GODREJCP,NSE,Fast Moving Consumer Goods,Household & Personal Products,NIFTY 50,0.12,902.95,1.40,"GODREJCP,"
Indraprastha Gas Ltd.,IGL,NSE,Industrials Gases & Fuels,Industrial  Gases & Fuels,NIFTY 50,0.12,424.65,2.40,"IGL,"
IndusInd Bank Ltd.,INDUSINDBK,NSE,Banking,Bank - Private,NIFTY 50,0.12,1101.90,2.90,"INDUSINDBK,"
Info Edge (India) Ltd.,NAUKRI,NSE,Information Technology,BPO/ITeS,NIFTY 50,0.12,4421.20,3.70,"NAUKRI,"
Privi Speciality Chemicals Ltd.,PRIVISCL,NSE,Chemicals,Chemicals,NIFTY 50,0.12,1384.05,1.50,"PRIVISCL,"
SBI Cards And Payment Services Ltd.,SBICARD,NSE,Finance,Finance - NBFC,NIFTY 50,0.12,922.40,0.60,"SBICARD,"
The Ramco Cements Ltd.,RAMCOCEM,NSE,Construction Materials,Cement & Construction Materials,NIFTY 50,0.12,750.05,0.80,"RAMCOCEM,"
Cera Sanitaryware Ltd.,CERA,NSE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,NIFTY 50,0.11,4939.65,2.10,"CERA,"
EIH Ltd.,EIHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",NIFTY 50,0.11,159.75,3.10,"EIHOTEL,"
Hindustan Aeronautics Ltd.,HAL,NSE,Aviation,Airlines,NIFTY 50,0.11,2217.30,-0.90,"HAL,"
Page Industries Ltd.,PAGEIND,NSE,Textile,Textile,NIFTY 50,0.11,49800.20,-0.60,"PAGEIND,"
PCBL Ltd.,PCBL,NSE,Chemicals,Carbon Black,NIFTY 50,0.11,124.65,1.80,"PCBL,"
