NDNL REPORT FOR VOYAGE: 0VCCSW1MA

BOOKING,WORKFLOW,MOVE_TERMS,AES,AES_EXT,BOOKED DATE,SERVICE,VOYAGE,INLAND RAMP,RAMP CUT,PORT CUT,SAIL_DATE,STATUS,ORIGIN,POL,PTS,POD,FPD,CONTRACT,QUOTE,COMMODITY_CODE,COMMODITY,COMMODITY_BOC,OVERSIZE,HAZ,SIZE_TYPE,UNITS,TEUS,ASSIGNED CONTS,RECEIVED CONTS,PARTNER_CODE,SHIP_CAT,FULL_NAME,CITY_STATE,BKG_REMARKS,FINAL_SALES_REP,FINAL_SALES_AREA
"NAM5666980","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-08 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNNGB","null","22-5067","null","740400","Waste and scrap, of copper (ex","METAL SCRAP","N","N","40HC","2","4","0","0","0000020720","GENERAL LOGISTICS INTERNATIONAL","GENERAL LOGISTICS INTERNATIONAL","null","BOOKINGS@GENERALLOGISTICS.NET","JOHN MAHAFFEY","USTRD",
"NAM5676450","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-12 20:40:43","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-2254","null","691190","Household and toilet articles,","CONSOL CARGO","N","N","40HC","1","2","0","0","0000254441","CH ROBINSON INTERNATIONAL INC","CH ROBINSON INTERNATIONAL INC","null","EVELYN.MACEDO@CHROBINSON.COM","JIM PARK","STRAT NVO",
"NAM5676451","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-12 20:26:44","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-2254","null","691190","Household and toilet articles,","CONSOL CARGO","N","N","40HC","1","2","0","0","0000254441","CH ROBINSON INTERNATIONAL INC","CH ROBINSON INTERNATIONAL INC","null","EVELYN.MACEDO@CHROBINSON.COM","JIM PARK","STRAT NVO",
"NAM5683578","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-14 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","Frozen meat of swine","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","SMITHFIELD, VA","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5683579","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-14 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","FROZEN PORK","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","SMITHFIELD, VA","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5683580","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-14 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","Frozen meat of swine","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","SMITHFIELD, VA","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5683581","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-15 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","swine","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","null","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5683583","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-15 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","swine","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","null","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5683584","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-15 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0658","null","020329","Frozen meat of swine (excl. ca","swine","N","N","40RH","1","2","0","0","0005218577","SMITHFIELD FRESH MEATS CORP","SMITHFIELD FRESH MEATS CORP","null","TRYSTAN.THOMPSON@ASCENTGL.COM","RON FOLSOM","USRFR",
"NAM5686427","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-15 15:31:10","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0219","null","691190","Household and toilet articles,","toilet articles","N","N","40HC","1","2","0","0","0000018552","CAROTRANS INTERNATIONAL INC","CAROTRANS INTERNATIONAL INC","null","JANETL@CAROTRANS.COM","JAMES YURKO","STRAT NVO",
"NAM5686434","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-15 14:34:59","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0219","null","691190","Household and toilet articles,","CONSOL  CONSOL CARGO","N","N","40HC","1","2","0","0","0000018552","CAROTRANS INTERNATIONAL INC","CAROTRANS INTERNATIONAL INC","null","JANETL@CAROTRANS.COM","JAMES YURKO","STRAT NVO",
"NAM5687377","00AA - INCOMPLETE SI","PP","X20221026482387","X20221026482387","2022-09-15 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0786","null","847590","Parts of machines for assembli","Parts of machines for assembli","N","N","40HC","6","12","5","1","0000411288","KINTETSU WORLD EXPRESS","KINTETSU WORLD EXPRESS","RANCHO DOMINGUEZ, CA","ERICK.TREVINO@AM.KWE.COM","RODERICK NOCHE","STRAT NVO",
"NAM5687561","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-15 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","null","USSAV","null","CNNGB","null","22-0438","null","080290","Nuts, fresh or dried, whether","PECANS, FRESH OR DRIED","N","N","40HC","5","10","0","0","0003522874","EASTERLIN PECAN CO","EASTERLIN PECAN CO","MONTEZUMA, GA","BILL@EASTERLINPECAN.COM","DYLEN SETZEKORN","USSAR",
"NAM5687561","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-15 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","null","USSAV","null","CNNGB","null","22-0438","null","080290","Nuts, fresh or dried, whether","null","N","N","40HC","5","10","0","0","0003522874","EASTERLIN PECAN CO","EASTERLIN PECAN CO","MONTEZUMA, GA","BILL@EASTERLINPECAN.COM","DYLEN SETZEKORN","USSAR",
"NAM5691877","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-16 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-3968","null","382410","Prepared binders for foundry m","Chemical products","N","N","40HC","1","2","0","0","0000254648","EM LINES LIMITED","EM LINES LIMITED","null","ROBERT.ELROD@EMOTRANS.COM","null","null",
"NAM5691878","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-16 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-3968","null","382410","Prepared binders for foundry m","Chemical products","N","N","40HC","1","2","0","0","0000254648","EM LINES LIMITED","EM LINES LIMITED","null","ROBERT.ELROD@EMOTRANS.COM","null","null",
"NAM5704239","00AA - INCOMPLETE SI","PP","X20220926732417","X20220926732417","2022-09-22 04:47:41","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","null","USSAV","null","CNNGB","null","22-2254","null","840790","Sparkignition reciprocating o","FAKSparkignition","N","N","40HC","2","4","0","0","0001377453","CH ROBINSON FREIGHT SERVICES LTD","CH ROBINSON FREIGHT SERVICES LTD","null","ANAIS.CABRERA@CHROBINSON.COM","JIM PARK","STRAT NVO",
"NAM5705971","71CA - VIP - BOOKED NO DOC","PP","null","null","2022-09-22 17:05:37","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","null","USSAV","null","CNTAO","null","16-1381","null","848790","Parts of machinery of chapter","Machinery Viz Parts And Access","N","N","40HC","5","10","0","0","0004733645","CAT CONTAINERIZED MATERIAL","CAT CONTAINERIZED MATERIAL","null","KHALEB.JONES@DHL.COM","HOLLY HALLORAN","STRAT BCO",
"NAM5707007","00NB - SPECIALIZED - BKD NO DOC","PP","null","null","2022-09-22 21:11:25","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","CNTAO","KRPUS","null","22-1329","null","030375","Frozen dogfish and other shark","Frozen dogfish","N","N","40RH","1","2","0","0","0003308726","KNIGHT USA LLC","KNIGHT USA LLC","null","LSIMONE@KNIGHTUSA.COM","MICHAEL ZYNCZENKO","USNER",
"NAM5708292","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-22 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNTAO","null","22-0142","null","120190","Other Soya beans, whether or n","SOYBEANS","N","N","40HC","40","80","30","0","0000996746","SCOULAR COMPANY","SCOULAR COMPANY","MINNEAPOLIS, MN","HSTEWART@SCOULAR.COM","JAESON DANDALIDES","USTRD",
"NAM5708331","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-22 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNTAO","null","22-0142","null","120190","Other Soya beans, whether or n","SOYBEANS","N","N","40HC","20","40","0","0","0000996746","SCOULAR COMPANY","SCOULAR COMPANY","MINNEAPOLIS, MN","HSTEWART@SCOULAR.COM","JAESON DANDALIDES","USTRD",
"NAM5712830","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-26 15:19:57","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","CNTAO","MYPKG","null","22-0341","null","390330","Acrylonitrilebutadienestyren","ACRYLONITRILEBUTADIENESTYRENE","N","N","40HC","2","4","0","0","0006803096","GREEN TRADING LLC","GREEN TRADING LLC","null","NLU@GREENTRADINGINTL.COM","DAWN JARKOW","USTRD",
"NAM5712879","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-26 15:51:15","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0241","null","950699","Articles and equipment for spo","FAK ARTICLES AND EQUIPMENT FOR SPO","N","N","40HC","1","2","0","0","0000402852","EXPEDITORS INTL OF WASH INC","EXPEDITORS INTL OF WASH INC","null","BOS-OCEANEXPORT@EXPEDITORS.COM","JAMES YURKO","STRAT NVO",
"NAM5712909","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-26 15:29:46","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","CNTAO","MYPKG","null","22-0341","null","390330","Acrylonitrilebutadienestyren","ACRYLONITRILEBUTADIENESTYREN","N","N","40HC","2","4","0","0","0006803096","GREEN TRADING LLC","GREEN TRADING LLC","null","NLU@GREENTRADINGINTL.COM","DAWN JARKOW","USTRD",
"NAM5718010","71CA - VIP - BOOKED NO DOC","PP","null","null","2022-09-27 17:27:13","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","null","USSAV","CNSHA","CNWUH","null","21-5064","null","470692","Chemical pulp of fibrous cellu","CELLULOSE","N","N","40HC","11","22","0","0","0000256012","GEORGIA PACIFIC LLC","GEORGIA PACIFIC LLC","null","FMSNA-GPBL@FMS-LOGISTICS.COM","DENEEN GRAINGER","USSAR",
"NAM5719633","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-28 03:18:05","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","CNSHA","CNCSX","null","21-2215","null","844331","Machines which perform two or","Machines which perform two","N","N","40HC","1","2","0","0","0002183630","KCL LOGISTICS INC","KCL LOGISTICS INC","null","DOCUMENT@KCLLOGISTICS.COM","BONNIE FITTS","USWCR",
"NAM5722948","NBND - NVR Booked -No Docs","PP","null","null","2022-09-28 19:57:35","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNSHA","null","22-0851","null","300390","Medicaments consisting of two","MEDICAMENTS","N","N","40HC","3","6","0","0","0006565487","CR BARD INC","CR BARD INC","null","Preferred-NIGEL WILLIAMS-770-991-9333-tyler.jackson@expeditors.com","ANDRE RISTIC","USNER",
"NAM5725892","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-29 19:05:51","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","null","CNSHA","null","22-0364","null","481159","Paper and paperboard, surface","Paper And Paperboard, Surface  481159","N","N","40HC","2","4","0","0","0004096530","MOHAWK GLOBAL LOGISTICS","MOHAWK GLOBAL LOGISTICS","null","BUFEXPORT@MOHAWKGLOBAL.COM","ANDREW BOURGET","USNER",
"NAM5726087","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-29 20:19:43","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","null","CNSHA","null","22-1019","null","853921","Tungsten halogen filament lamp","FAKTUNGSTEN HALOGEN FILAMENT LAMPS","N","N","40HC","1","2","0","0","0000255826","DSV AIR & SEA INC","DSV AIR & SEA INC","null","LISA.BUONOPANE@US.DSV.COM","JAMES YURKO","STRAT NVO",
"NAM5728380","00ND - BOOKED - NO DOCS","RP","null","null","2022-09-30 14:15:03","VESPEC","0VCCSW1MA","USCLTRCXC","2022-11-04 16:00:00","2022-11-25 11:00","2022-11-28 01:00","1","USCLT","USSAV","null","CNSHA","null","22-1019","null","382499","Other Prepared binders for fou","FAK  PREPARED BINDERS FOR FOUNDRY MOLDS","N","N","40HC","1","2","0","0","0000255819","DSV AIR & SEA INC","DSV AIR & SEA INC","null","SHANNON.RODRIGUEZ@DSV.COM","MIRIAM MONTIEL","STRAT NVO",
"NAM5728847","00ND - BOOKED - NO DOCS","PP","null","null","2022-09-30 15:41:40","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","22-0364","null","481159","Paper and paperboard, surface","PAPERBOARD","N","N","40HC","2","4","0","0","0004096530","MOHAWK GLOBAL LOGISTICS","MOHAWK GLOBAL LOGISTICS","null","BUFEXPORT@MOHAWKGLOBAL.COM","ANDREW BOURGET","USNER",
"NAM5736540","1NVR - NVR - VIP - BOOKED NO DOCS","PP","null","null","2022-10-04 12:57:16","VESPEC","0VCCSW1MA","null","null","2022-11-4 11:00","2022-11-7 02:00","1","null","USCHS","null","CNNGB","null","21-2535","null","470200","Chemical wood pulp, dissolving","Chemical Wood Pulp, Dissolving","N","N","40HC","12","24","2","0","0001761116","DOMTAR PAPER COMPANY LLC","DOMTAR PAPER COMPANY LLC","null","DOMTARVAN@GMUNRO.CA","MICHAEL CHASE","USSAR",
"NAM5736605","NBND - NVR Booked -No Docs","PP","null","null","2022-10-04 11:50:59","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","null","CNSHA","null","22-0241","null","370231","Photographic film incl. insta","FAK  Photographic film","N","N","40HC","2","4","0","0","0000402852","EXPEDITORS INTL OF WASH INC","EXPEDITORS INTL OF WASH INC","null","BOS-OCEANEXPORT@EXPEDITORS.COM","JAMES YURKO","STRAT NVO",
"NAM5737576","00ND - BOOKED - NO DOCS","DP","null","null","2022-10-04 13:31:37","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","USADV","USSAV","CNSHA","CNNTG","null","22-1633","null","390230","Propylene copolymers, in prima","Copolymers","N","N","40HC","5","10","0","0","0000024707","SHAW INDUSTRIES GROUP INC","SHAW INDUSTRIES GROUP INC","null","NROSAS@AXIOMWWL.COM","CHRISTOPHER LEE","USSAR",
"NAM5737594","00ND - BOOKED - NO DOCS","DP","null","null","2022-10-04 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-25 11:00","2022-11-28 01:00","1","USADV","USSAV","CNSHA","CNNTG","null","22-1633","null","390230","Propylene copolymers, in prima","Propylene copolymers","N","N","40HC","5","10","0","0","0000024707","SHAW INDUSTRIES GROUP INC","SHAW INDUSTRIES GROUP INC","null","NROSAS@AXIOMWWL.COM","CHRISTOPHER LEE","USSAR",
"NAM5737743","00ND - BOOKED - NO DOCS","PP","null","null","2022-10-04 00:00:00","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","null","CNTAO","null","22-5023","null","442199","Other articles of wood","Basketwork, wickerwork and oth","N","N","40HC","2","4","0","0","0000018543","CAROLINA OCEAN LINES INC","CAROLINA OCEAN LINES INC","null","MCOMPTON@TMXSHIP.COM","DERON HAGADORN","USSAR",
"NAM5739586","00ND - BOOKED - NO DOCS","PP","null","null","2022-10-04 18:53:24","VESPEC","0VCCSW1MA","null","null","2022-11-1 10:00","2022-11-4 16:00","1","null","USBOS","CNTAO","MYPKG","null","22-0341","null","390190","Polymers of ethylene, in prima","polymers of ethylene","N","N","40HC","1","2","0","0","0006803096","GREEN TRADING LLC","GREEN TRADING LLC","null","NLU@GREENTRADINGINTL.COM","DAWN JARKOW","USTRD",
"NAM5751666","71CA - VIP - BOOKED NO DOC","PP","null","null","2022-10-07 19:24:14","VESPEC","0VCCSW1MA","null","null","2022-10-31 10:00","2022-11-2 15:00","1","null","USNYC","null","CNSHA","null","null","GA322H-GIGO","481151","Paper and paperboard, surface","Paper and paperboard, surfacecoloured, surfacede","N","N","40ST","1","2","0","0","0005849562","SAPPI NORTH AMERICA","SAPPI NORTH AMERICA","null","LEAH.JACKSON@SAPPI.COM","JOHN MAJCHROWICZ","USNER",
"NAM5752737","00ND - BOOKED - NO DOCS","DP","null","null","2022-10-07 21:41:49","VESPEC","0VCCSW1MA","USCMHRCXC","2022-10-27 01:00:00","2022-10-31 10:00","2022-11-2 15:00","1","USCIE","USNYC","null","CNSHA","null","22-2293","null","392099","Plates, sheets, film, foil and","PLATES,SHEETS,FILM,FOIL","N","N","40HC","1","2","0","0","0000255776","BDP INTERNATIONAL","BDP INTERNATIONAL","null","ANN.SNYDER@BDPINT.COM","ANDREW GOULET","USNER",
